submissionDate,state,totalCases,newCases,totalDeaths,newDeaths
06/16/2021,OK,455354,209,7359,2
01/29/2020,AK,0,0,0,0
10/16/2020,AK,10604,221,89,1
11/12/2020,GA,416217,2802,8881,75
01/17/2022,OK,842996,31607,11740,0
03/02/2022,CO,1334881,683,11801,7
12/01/2021,AS,10,0,0,0
08/04/2020,GA,202908,2742,3921,79
07/01/2021,PW,2,0,0,0
03/31/2020,MA,6620,868,155,28
04/13/2021,GA,1076644,1913,19548,25
03/11/2022,KS,768725,303,8006,3
03/06/2021,PW,0,0,0,0
11/24/2021,AR,525824,694,8643,16
03/10/2021,FL,1919940,5039,32916,63
05/07/2021,TX,2901504,2926,50198,27
03/07/2021,AR,324818,165,5319,22
11/12/2021,KS,447794,2705,6618,5
10/05/2021,TX,4081849,10012,65062,277
03/27/2021,GA,1054430,1410,18926,77
03/23/2020,WV,20,4,0,0
08/30/2021,AS,0,0,0,0
02/18/2020,AS,0,0,0,0
11/21/2020,FL,917516,6463,19075,64
08/16/2021,NYC,1006712,1580,33679,9
10/06/2020,AS,0,0,0,0
03/07/2020,KS,0,0,0,0
12/03/2020,AK,33805,778,222,8
02/10/2022,UT,909109,1935,4250,13
01/11/2021,PR,86001,215,1640,10
04/20/2021,CO,503019,1758,6211,10
10/14/2021,PR,182805,216,3195,3
07/16/2020,PW,0,0,0,0
10/07/2020,NYC,251694,879,23568,0
04/10/2020,AK,246,11,9,0
11/01/2021,MA,855230,3308,19003,7
02/12/2022,AS,57,0,0,0
02/19/2020,PR,0,0,0,0
06/24/2020,OK,15529,574,420,0
03/28/2021,TX,2772080,3415,48603,43
11/28/2021,OK,666169,751,11223,0
02/22/2020,AR,0,0,0,0
12/09/2021,HI,85676,140,1029,1
07/10/2021,AR,356131,671,5950,2
04/04/2022,CO,1349718,799,11976,-1
03/13/2020,OK,223,49,0,0
11/17/2021,KS,452909,3096,6634,20
11/18/2021,GA,1653237,1285,30094,67
07/25/2020,PR,5941,176,189,0
03/18/2020,GA,378,95,6,5
11/04/2021,WV,275396,888,4511,21
09/30/2021,CO,679811,2481,7543,2
01/25/2022,AS,18,0,0,0
04/04/2021,MP,159,0,2,0
12/16/2021,TX,4391567,5735,73658,90
03/30/2020,PW,0,0,0,0
12/03/2021,AK,146558,311,853,0
04/21/2021,MA,676758,1596,17513,13
11/28/2020,MP,104,0,2,0
11/24/2020,WV,42083,969,682,15
09/20/2021,AR,485452,568,7482,24
09/03/2021,CO,629424,2220,7194,24
10/22/2020,GA,370047,2037,7729,25
07/21/2021,GA,1153064,2229,21593,22
09/23/2021,TX,3970552,11044,62033,463
10/13/2020,KS,67862,0,771,0
08/02/2020,CO,49174,437,1844,0
11/25/2020,KS,147797,5738,1503,47
02/05/2021,MA,537208,3287,15149,71
01/04/2022,MP,3453,61,18,0
01/16/2022,FL,5142085,31535,65087,193
03/19/2022,TX,6618153,1556,85472,73
09/14/2020,MA,125080,254,9246,17
03/14/2020,MA,109,0,0,0
01/29/2021,AS,3,0,0,0
06/16/2021,MP,183,0,2,0
02/05/2020,NYC,0,0,0,0
07/24/2020,HI,1591,70,26,0
11/24/2021,AS,5,0,0,0
05/04/2021,CO,526535,1438,6321,15
06/24/2020,AR,17375,697,240,3
01/25/2020,WV,0,0,0,0
10/10/2020,AR,92220,908,1550,21
11/26/2021,AS,5,0,0,0
09/25/2021,AS,1,0,0,0
01/31/2020,MA,0,0,0,0
11/20/2020,MA,200949,2399,10517,31
02/16/2020,PR,0,0,0,0
03/03/2021,AS,4,0,0,0
10/25/2021,KS,430293,1477,6242,31
05/23/2020,OK,6708,96,337,6
03/17/2020,WV,1,1,0,0
01/30/2022,PW,1481,74,0,0
03/14/2020,TX,22,0,0,0
05/08/2020,AR,3747,82,88,0
02/27/2022,AR,819426,495,10497,32
11/08/2021,FL,3683947,1867,61615,29
11/18/2020,PR,47000,930,974,17
08/07/2020,GA,214367,4207,4117,91
01/19/2022,HI,180337,3898,1115,0
06/26/2021,AS,0,0,0,0
07/13/2020,CO,38246,372,1727,2
09/08/2020,PW,0,0,0,0
11/03/2021,WV,274508,849,4490,15
04/20/2020,AS,0,0,0,0
01/30/2022,FL,5555981,15277,68166,203
11/11/2020,NYC,281652,2085,23812,6
04/16/2020,OK,3060,90,142,6
07/28/2020,CO,46611,884,1807,8
11/07/2021,KS,440303,0,6495,0
09/26/2021,PR,180420,140,3123,1
06/16/2020,FL,80017,2424,3165,43
03/14/2020,FL,91,40,7,2
05/02/2021,UT,398012,279,2204,1
02/24/2022,FL,5800221,2909,72018,81
01/24/2021,GA,866911,4753,13250,4
08/31/2021,MA,759869,1775,18246,17
07/31/2021,FL,2633958,17863,40114,155
09/04/2020,AR,64678,1174,873,12
02/04/2021,MP,133,0,2,0
09/02/2020,MP,57,1,2,0
07/02/2020,FL,174362,9222,3931,77
03/13/2020,AR,9,3,0,0
11/10/2020,NYC,279567,1159,23806,8
09/09/2020,TX,645791,4000,15547,86
10/30/2021,HI,81461,150,899,9
12/02/2020,WV,49905,1087,778,20
05/15/2020,GA,34270,613,1557,30
10/29/2020,TX,886820,6826,19236,135
03/21/2022,TX,6621379,804,85513,34
11/15/2020,UT,153808,2667,718,8
01/18/2021,TX,2125552,11590,37203,309
07/01/2020,FL,165140,9365,3854,71
11/09/2020,NYC,278408,1199,23798,13
02/03/2020,WV,0,0,0,0
02/12/2021,KS,286102,1208,4364,61
03/28/2020,AS,0,0,0,0
01/03/2022,CO,971242,7335,10293,22
02/01/2021,FL,1699700,10324,28888,154
10/04/2020,MA,134947,644,9543,15
02/21/2020,AK,0,0,0,0
06/25/2021,NYC,954925,177,33397,7
02/12/2022,TX,6449575,12802,80760,194
07/21/2020,AS,0,0,0,0
08/19/2020,HI,5818,235,43,2
08/26/2021,WV,183354,1448,3049,13
01/15/2022,WV,382958,5223,5516,0
10/05/2020,AS,0,0,0,0
10/28/2021,NYC,1119298,0,34554,0
02/26/2020,WV,0,0,0,0
10/26/2020,AR,106727,612,1833,21
12/01/2021,WV,295949,1155,4895,27
03/09/2022,FL,5823237,1535,72874,48
01/09/2021,PW,0,0,0,0
10/20/2020,HI,14108,84,189,2
04/28/2020,TX,26171,874,940,34
05/21/2020,AR,5458,455,110,3
10/09/2021,AK,117278,911,571,1
01/19/2022,GA,2188320,27781,32072,42
02/07/2020,AK,0,0,0,0
10/24/2020,AS,0,0,0,0
02/27/2020,NYC,0,0,0,0
07/29/2020,PR,6601,97,203,3
02/03/2020,AS,0,0,0,0
07/03/2021,AS,0,0,0,0
01/26/2022,PR,450265,1727,3773,19
02/03/2020,GA,0,0,0,0
04/21/2021,CO,504732,1713,6215,4
11/13/2021,OK,653624,0,11072,0
08/01/2020,HI,2217,45,26,0
08/28/2020,AS,0,0,0,0
09/21/2021,CO,662832,1670,7428,23
12/09/2021,AR,536368,918,8810,14
11/03/2020,UT,119375,1669,620,6
06/24/2020,MP,30,0,2,0
01/20/2021,MA,481040,4514,14032,76
02/12/2020,UT,0,0,0,0
01/04/2022,NYC,1754460,45793,35612,95
10/05/2021,GA,1592733,2876,26625,180
04/08/2021,OK,444222,238,7187,12
02/09/2020,AR,0,0,0,0
06/29/2021,WV,163992,25,2879,1
08/11/2020,KS,31730,0,387,0
11/01/2021,AK,134167,1522,702,3
05/29/2020,WV,1972,37,74,0
05/19/2020,GA,36889,772,1668,26
02/15/2021,MA,559350,1573,15654,43
05/31/2021,CO,552449,278,6580,0
11/07/2020,MA,169576,2302,10181,27
07/21/2021,HI,38066,130,521,1
02/21/2020,WV,0,0,0,0
11/05/2021,WV,276267,871,4518,7
02/14/2022,FL,5756523,5979,70886,135
06/02/2021,TX,2945998,1995,50979,22
04/15/2020,PR,546,38,47,4
11/19/2021,OK,659585,985,11107,19
03/03/2022,HI,231006,292,1332,3
09/23/2020,KS,55226,1267,621,21
04/03/2021,HI,30246,229,464,4
10/04/2020,TX,765894,2884,17156,60
08/31/2021,OK,554496,2538,8056,54
01/21/2021,FL,1591545,13438,27048,185
03/29/2020,FL,4758,875,129,20
02/01/2021,CO,408385,914,5641,47
02/08/2020,OK,1,0,0,0
02/02/2022,PR,461010,1806,3908,21
10/13/2021,CO,707005,2031,7828,38
09/27/2020,OK,91054,961,1339,11
11/24/2021,PW,10,0,0,0
02/14/2020,AR,0,0,0,0
04/03/2020,FL,10087,1279,277,29
09/02/2021,CO,627204,2226,7170,19
02/21/2020,KS,0,0,0,0
04/05/2021,PW,0,0,0,0
07/25/2020,OK,39022,714,604,11
10/14/2020,AS,0,0,0,0
09/08/2020,AS,0,0,0,0
07/30/2020,PW,0,0,0,0
12/26/2020,KS,209689,0,2507,0
01/14/2022,GA,2113319,19943,31928,53
11/25/2021,PR,187718,0,3266,0
01/22/2020,AR,0,0,0,0
06/17/2021,WV,163382,71,2863,2
04/29/2021,KS,308820,310,4978,0
04/09/2021,HI,30754,81,467,0
11/06/2021,AR,515979,455,8483,11
03/07/2020,GA,11,3,0,0
04/14/2021,AS,0,0,0,0
10/16/2021,OK,633967,947,9474,23
12/02/2021,PR,188517,162,3272,1
02/17/2020,MA,1,0,0,0
07/22/2021,FL,2484336,14431,39019,57
03/23/2021,HI,28950,38,451,0
07/24/2021,CO,575863,763,6914,4
11/02/2021,UT,554311,1250,3248,11
09/27/2020,UT,70615,1068,453,5
10/24/2021,TX,4194151,1516,69072,71
09/04/2020,CO,60203,395,1966,11
08/19/2021,GA,1297503,9836,22151,48
08/04/2020,PR,8504,155,238,11
10/03/2020,NYC,249416,693,23552,6
08/20/2021,PW,2,0,0,0
06/14/2020,AR,12501,406,179,2
10/02/2021,PW,7,0,0,0
01/09/2021,OK,357361,3262,5073,58
05/29/2020,PR,1297,19,121,0
06/10/2020,CO,29044,134,1573,20
07/14/2021,NYC,960649,399,33471,1
03/07/2021,KS,295861,0,4812,0
10/04/2020,FL,701119,1380,16524,55
06/19/2021,AK,68005,23,366,0
08/11/2020,CO,52724,295,1875,12
12/07/2021,AK,147103,0,853,0
06/18/2021,KS,316539,98,5129,1
10/20/2020,TX,833557,5030,18294,78
02/19/2020,MA,1,0,0,0
09/29/2021,MA,810319,1646,18600,23
02/04/2020,GA,0,0,0,0
02/18/2021,FL,1816479,6606,31243,108
06/19/2021,PW,2,0,0,0
07/09/2021,WV,164465,66,2908,4
03/31/2020,UT,934,128,5,0
04/15/2020,AK,293,8,9,0
12/25/2020,UT,260589,0,1204,0
03/14/2020,OK,273,50,0,0
06/04/2020,WV,2102,25,79,1
02/21/2020,NYC,0,0,0,0
10/15/2021,MP,282,0,3,0
11/08/2021,KS,441642,1339,6534,39
03/26/2022,NYC,2300167,0,40056,0
08/02/2020,MA,110430,353,8655,10
04/07/2020,GA,8950,1562,351,32
08/06/2020,TX,467485,7598,11195,230
11/10/2020,FL,838888,5717,18357,68
11/18/2020,PW,0,0,0,0
06/27/2021,MA,709769,31,17990,1
01/28/2022,TX,6122432,38682,77780,225
02/24/2022,HI,229477,278,1300,8
04/18/2021,HI,31715,109,471,0
05/31/2020,CO,26964,311,1445,2
11/05/2021,AS,4,0,0,0
11/26/2021,UT,592130,2415,3487,17
05/21/2021,AS,0,0,0,0
08/13/2021,FL,2908372,22544,43432,307
08/27/2020,KS,39937,0,437,11
10/27/2021,MP,291,0,3,0
11/02/2021,PW,10,0,0,0
11/12/2021,MA,873281,3988,19159,21
03/14/2022,MP,10535,156,31,1
03/24/2022,KS,769598,0,8198,0
07/14/2020,CO,38672,426,1738,11
01/26/2021,AK,51991,83,308,1
01/12/2022,AK,167008,4382,953,5
03/04/2021,MA,586310,1567,16384,51
12/13/2021,WV,308204,772,5107,22
08/01/2020,AR,43173,662,458,5
02/13/2021,TX,2553127,11282,44095,193
03/30/2021,AS,0,0,0,0
01/14/2022,NYC,2057960,0,36519,0
03/14/2022,OK,1028420,757,13730,217
09/13/2020,KS,48386,0,511,0
02/28/2021,PR,101918,145,2024,1
05/31/2020,MP,22,0,2,0
04/26/2021,FL,2174165,5301,35477,49
05/26/2020,HI,636,0,17,0
02/14/2021,PR,99422,366,1908,2
11/19/2021,GA,1654649,1412,30162,68
07/01/2021,UT,415679,540,2375,4
08/04/2020,WV,7051,78,124,7
08/16/2021,MP,214,0,2,0
09/05/2020,WV,11289,252,243,0
02/28/2022,MA,1671292,1698,23424,54
03/25/2020,GA,1540,281,47,9
02/07/2021,MA,543934,3107,15240,43
08/27/2021,FL,3211808,21578,48768,440
08/06/2021,AR,400275,3037,6269,22
07/27/2021,WV,166297,189,2936,0
01/08/2021,AS,3,0,0,0
01/14/2022,TX,5402259,57874,75783,133
12/27/2020,AS,3,0,0,0
06/05/2021,AR,342345,203,5846,1
10/31/2021,KS,434646,0,6415,0
11/22/2021,TX,4292386,1956,72208,10
07/22/2021,AK,70539,211,375,0
12/05/2020,OK,238348,2946,3233,53
02/10/2021,AR,309940,1092,5174,26
03/09/2022,TX,6583747,5191,84645,132
03/02/2021,AS,4,0,0,0
01/02/2021,KS,227745,0,2879,0
11/23/2021,NYC,1150785,1641,34775,17
06/09/2020,CO,28910,184,1553,10
09/24/2021,PR,180067,311,3121,9
02/28/2021,KS,293663,0,4735,0
01/27/2022,AK,199552,0,1048,0
01/02/2022,PR,298388,26098,3310,2
12/24/2020,AR,211145,3204,3406,30
01/08/2021,AR,248860,2944,3966,40
01/24/2020,HI,0,0,0,0
05/25/2020,AS,0,0,0,0
09/06/2020,WV,11412,123,246,3
09/23/2021,HI,74606,437,733,12
01/17/2022,FL,5174798,32713,65296,209
05/25/2021,AR,340515,329,5824,4
08/03/2020,GA,200166,2538,3842,2
06/04/2020,AR,8425,358,151,9
08/06/2021,AS,0,0,0,0
06/19/2021,HI,35976,57,508,2
10/24/2020,HI,14501,89,211,2
04/07/2021,FL,2062741,7783,34463,51
01/20/2021,AK,50958,161,304,1
04/02/2021,MP,159,0,2,0
03/14/2020,HI,7,3,0,0
02/02/2021,OK,412541,2448,6308,31
03/06/2020,TX,5,5,0,0
11/03/2020,AK,16512,404,122,2
03/05/2021,CO,444606,1201,5986,12
12/03/2021,HI,85086,118,1017,1
08/12/2020,NYC,231625,342,23319,6
12/18/2020,FL,1166634,11393,21591,115
09/15/2020,TX,668746,5342,15969,70
12/16/2021,NYC,1223119,10599,35045,24
03/08/2020,PR,0,0,0,0
10/21/2021,UT,537276,2340,3118,12
06/22/2020,NYC,215354,219,22815,18
05/09/2020,PR,945,1,102,2
04/28/2020,KS,3491,163,124,4
04/22/2020,GA,19925,897,838,17
08/25/2020,PW,0,0,0,0
01/25/2020,TX,0,0,0,0
11/30/2021,MP,812,25,3,0
06/04/2021,HI,35217,65,498,0
08/01/2020,MA,110077,290,8645,19
04/08/2021,AK,61969,222,341,1
03/29/2022,HI,233569,0,1361,0
01/25/2022,AR,749824,7943,9556,24
06/27/2021,PR,141219,16,2535,1
04/13/2020,GA,13289,1086,481,34
01/18/2022,PR,423221,4305,3563,21
02/24/2020,GA,0,0,0,0
12/13/2021,OK,680617,1553,11336,64
06/02/2021,MP,183,0,2,0
03/08/2022,KS,767870,0,7988,0
11/22/2020,MA,206850,2695,10576,31
07/14/2020,NYC,222774,237,23101,7
12/25/2020,AR,213267,2122,3438,32
12/11/2021,AR,538208,747,8840,9
02/17/2021,PW,0,0,0,0
01/22/2021,WV,113615,998,1856,7
01/04/2022,AK,154369,0,947,0
07/13/2021,GA,1142268,1109,21525,26
04/15/2020,KS,1494,17,76,5
08/03/2020,PR,8349,261,227,10
02/22/2022,WV,485498,575,6219,36
03/05/2021,FL,1898071,4601,32573,87
05/16/2020,WV,1470,23,65,1
08/21/2021,HI,53153,752,560,1
06/18/2020,MP,30,0,2,0
03/02/2022,AK,232232,587,1158,28
02/17/2022,AK,227111,0,1108,0
03/23/2022,PW,3976,0,6,0
06/25/2020,MA,102922,160,8032,18
10/18/2020,AR,99066,644,1704,20
12/14/2021,FL,3752182,4693,62559,19
05/30/2020,PR,1298,1,124,3
06/03/2021,OK,453552,153,7320,3
06/01/2021,HI,35090,55,497,0
11/21/2021,PR,187429,108,3262,1
11/08/2020,AR,121866,1038,2085,17
01/22/2020,PR,0,0,0,0
11/02/2020,UT,117706,1196,614,0
09/20/2020,KS,52285,0,596,0
03/28/2022,UT,927551,255,4706,4
09/26/2021,MA,805731,1451,18549,4
10/08/2021,WV,250800,1469,3935,69
10/01/2020,TX,752501,3534,16973,61
03/28/2021,WV,140613,297,2634,3
03/07/2022,UT,924791,543,4461,8
04/14/2020,TX,14624,718,483,32
01/22/2021,KS,266653,3241,3598,23
01/14/2021,CO,380583,2382,5316,31
03/15/2021,MP,154,0,2,0
10/10/2020,KS,65807,0,763,0
08/05/2021,AK,73931,347,390,5
03/05/2021,AS,4,0,0,0
08/28/2020,AR,59583,838,756,17
06/27/2021,UT,413950,282,2363,8
01/24/2021,AK,51827,164,307,1
05/23/2020,KS,8958,0,185,0
04/08/2020,AS,0,0,0,0
03/28/2021,PW,0,0,0,0
06/20/2020,CO,31098,181,1647,4
01/17/2021,MA,470140,4414,13822,66
09/07/2021,WV,200308,1008,3151,3
02/23/2022,AS,72,15,0,0
06/26/2020,AS,0,0,0,0
02/25/2021,AS,4,0,0,0
05/20/2021,AS,0,0,0,0
03/12/2021,AR,326499,459,5437,27
10/20/2020,PW,0,0,0,0
10/25/2020,AS,0,0,0,0
09/04/2020,TX,630829,5482,15164,96
06/20/2020,TX,107735,4430,2577,45
08/10/2021,NYC,995080,3075,33626,10
10/03/2020,OK,97901,1126,1412,13
12/26/2021,TX,4499025,12559,74092,0
03/16/2020,UT,29,8,0,0
02/12/2022,UT,910900,0,4261,0
11/04/2021,PR,184854,123,3232,3
03/18/2021,AR,328045,264,5515,8
10/06/2020,MP,75,2,2,0
01/22/2022,PR,438366,5865,3673,42
03/28/2020,WV,113,17,0,0
01/06/2022,MP,3518,0,18,0
04/11/2020,OK,2680,128,109,7
05/23/2021,AR,340137,97,5817,1
01/23/2022,OK,893913,0,11872,0
09/26/2020,GA,330612,1442,6914,40
02/04/2022,KS,744493,4871,7716,139
05/30/2021,WV,161571,142,2792,0
01/10/2021,CO,372457,2220,5208,18
06/28/2021,MA,709810,41,17992,2
08/07/2021,AR,402908,2633,6290,21
10/22/2021,MA,842652,1454,18911,15
09/03/2021,MP,243,0,2,0
08/17/2021,TX,3354048,23990,53196,96
04/20/2021,AR,333709,198,5706,7
06/02/2020,OK,7685,192,368,2
03/12/2021,AS,4,0,0,0
02/15/2021,FL,1797595,6697,30900,111
11/05/2020,TX,1008438,10171,20137,149
11/07/2020,MP,98,0,2,0
10/16/2021,HI,79697,135,861,4
07/06/2020,PR,2433,66,145,1
08/01/2020,KS,27812,0,358,0
02/14/2021,MA,557777,1882,15611,69
09/18/2021,GA,1528898,3784,24641,64
02/12/2021,NYC,669111,4775,28160,80
03/01/2022,NYC,2278978,429,39836,24
06/04/2020,GA,48744,942,2147,24
10/14/2021,AR,505297,781,8176,10
04/25/2021,PR,131144,811,2255,1
04/25/2020,MP,14,0,2,0
02/06/2021,TX,2476783,13897,42676,221
05/26/2020,MA,93693,422,6952,73
03/19/2022,AR,830020,1131,11078,25
06/26/2021,CO,563002,409,6770,4
01/03/2021,MA,387662,3481,12821,63
10/18/2021,AK,124751,691,642,16
09/07/2020,TX,640370,2060,15387,70
02/12/2020,AK,0,0,0,0
10/29/2020,KS,82045,0,1007,0
06/10/2021,AR,343216,289,5856,2
01/30/2020,OK,0,0,0,0
12/23/2021,MP,2737,96,8,0
11/04/2021,KS,438196,0,6448,0
12/18/2020,HI,19539,122,279,1
03/27/2021,NYC,837409,5018,31043,74
03/02/2022,GA,2467923,1398,35601,72
07/04/2021,UT,416684,287,2380,1
03/11/2021,MP,146,0,2,0
08/25/2020,GA,267034,2494,5262,106
05/03/2021,MP,168,0,2,0
12/13/2021,PR,189701,183,3276,0
09/26/2021,PW,7,0,0,0
01/25/2021,AK,51908,81,307,0
07/11/2021,OK,461811,259,7413,1
10/18/2020,GA,363775,1258,7638,31
02/18/2020,HI,0,0,0,0
03/20/2020,TX,175,67,9,3
09/12/2020,TX,657589,4324,15766,67
09/20/2021,GA,1536467,3785,24772,67
03/11/2022,NYC,2285511,0,39927,0
06/20/2020,NYC,214750,386,22782,19
03/21/2022,KS,769333,115,8150,4
10/28/2021,CO,744378,3603,8163,32
06/11/2021,FL,2303815,1617,37527,21
12/16/2020,HI,19281,104,276,4
01/21/2022,FL,5324131,22649,66163,229
08/23/2021,MA,747153,1142,18179,2
03/23/2022,OK,1031896,751,13889,159
09/08/2020,HI,10086,100,88,2
04/23/2020,TX,21944,875,780,35
03/13/2020,AS,0,0,0,0
08/26/2020,OK,59705,1161,976,17
08/02/2021,AK,72988,235,382,0
02/10/2020,NYC,0,0,0,0
03/09/2021,FL,1914901,4862,32853,72
12/26/2020,OK,304507,1517,4271,47
02/18/2021,CO,428272,1270,5864,26
01/01/2021,KS,227745,5312,2879,138
03/27/2022,MA,1692177,0,20072,0
11/11/2020,CO,149851,4074,2443,16
06/14/2020,AK,665,9,15,0
02/28/2022,AS,86,2,0,0
04/20/2021,AS,0,0,0,0
01/20/2021,WV,111677,857,1836,21
03/13/2021,KS,297748,0,4824,0
10/04/2021,HI,77876,188,806,3
08/24/2021,MA,748753,1600,18195,16
01/11/2021,MP,125,0,2,0
02/10/2020,GA,0,0,0,0
03/22/2020,WV,16,4,0,0
12/16/2021,HI,87241,384,1054,2
09/09/2020,KS,47410,496,495,10
01/23/2022,AK,188612,0,1018,0
03/26/2021,CO,466117,1375,6086,4
07/15/2021,PW,2,0,0,0
11/13/2020,AR,130318,2312,2148,4
07/31/2020,MA,109787,387,8626,15
02/14/2022,UT,914028,3128,4300,39
06/20/2021,FL,2317136,1066,37771,24
02/26/2020,KS,0,0,0,0
02/10/2020,HI,0,0,0,0
12/21/2021,NYC,1290377,20454,35129,28
07/18/2020,KS,21965,0,299,0
11/08/2020,PW,0,0,0,0
11/12/2020,UT,143639,3919,687,9
10/27/2021,AS,4,0,0,0
05/02/2020,OK,4670,116,256,8
03/06/2022,WV,492276,0,6440,0
04/24/2021,HI,32165,99,475,1
10/19/2021,PW,10,0,0,0
06/22/2020,UT,18135,310,160,2
02/24/2020,FL,0,0,0,0
09/28/2020,MP,70,0,2,0
03/28/2020,PR,16,7,1,0
10/04/2020,AS,0,0,0,0
11/30/2020,KS,157446,4425,1560,31
05/02/2021,AK,65587,89,341,0
09/04/2020,UT,54646,585,420,4
04/06/2021,GA,1066671,1474,19238,26
01/17/2022,NYC,2137022,12682,36963,262
02/23/2020,KS,0,0,0,0
07/18/2021,AR,364280,850,6002,5
03/11/2020,CO,24,6,0,0
04/12/2020,NYC,119503,4691,9808,720
11/01/2020,AR,113057,867,1958,33
08/29/2020,AK,5211,93,52,0
11/13/2021,MP,384,3,3,0
08/07/2021,MP,206,8,2,0
07/30/2021,KS,332933,1001,5255,8
01/26/2020,MA,0,0,0,0
01/13/2022,GA,2093376,24310,31875,74
01/17/2022,WV,390788,3673,5535,19
07/21/2021,AS,0,0,0,0
09/28/2021,PW,7,0,0,0
03/18/2022,MA,1685937,882,20029,6
02/16/2021,PW,0,0,0,0
12/18/2021,UT,617697,0,3704,0
12/04/2021,TX,4337687,8146,72956,74
06/20/2021,UT,411610,288,2330,2
07/23/2021,FL,2499280,14944,39110,91
05/12/2020,PR,979,12,106,2
11/23/2020,AR,146190,1017,2387,30
04/04/2021,FL,2043562,3534,34321,31
01/09/2021,AR,251746,2886,4010,44
01/14/2021,GA,791324,9036,11975,172
02/14/2020,NYC,0,0,0,0
08/17/2020,AS,0,0,0,0
01/05/2022,UT,663654,7247,3863,52
02/13/2021,KS,286102,0,4364,0
09/02/2020,AS,0,0,0,0
11/26/2021,TX,4305679,635,72381,0
01/11/2022,OK,775169,5507,11740,90
03/12/2021,KS,297748,519,4824,-27
10/27/2021,AR,511467,559,8325,19
03/31/2021,CO,471835,1384,6107,8
11/03/2020,CO,119587,2765,2311,19
09/24/2021,PW,7,0,0,0
07/06/2020,TX,200557,5318,4053,150
10/21/2020,MA,146166,702,9830,18
01/30/2020,FL,0,0,0,0
06/20/2020,OK,13701,509,410,1
05/31/2021,FL,2284487,1260,37136,41
02/12/2020,PR,0,0,0,0
05/05/2020,MP,14,0,2,0
02/02/2021,CO,409317,932,5650,9
08/13/2020,WV,8151,143,153,0
12/03/2021,AS,10,0,0,0
05/25/2021,GA,1120923,651,20699,38
07/24/2021,UT,427552,567,2429,2
04/01/2020,PR,105,9,4,1
08/31/2020,GA,280769,1720,5633,29
07/06/2020,OK,23006,495,461,6
10/31/2020,PR,36756,945,821,0
06/21/2021,PR,140979,3,2531,3
05/23/2021,PR,139158,82,2463,2
07/05/2020,KS,15919,0,277,0
03/17/2021,MP,156,0,2,0
07/18/2021,WV,165093,80,2919,0
08/25/2020,MP,54,0,2,0
08/22/2020,FL,585970,2958,12955,141
09/07/2020,UT,55743,396,423,2
07/08/2020,AR,25246,734,305,4
08/24/2020,AK,4832,72,50,0
03/12/2022,PR,475768,179,4150,2
10/25/2021,MA,846044,3392,18931,20
03/13/2022,KS,768725,0,8006,0
07/11/2021,PR,142161,96,2543,1
02/03/2021,TX,2433110,17620,41934,268
04/14/2020,KS,1477,101,71,9
09/06/2021,FL,3377283,10243,52647,377
09/03/2021,PW,4,0,0,0
08/31/2021,KS,371073,2097,5557,0
02/09/2020,NYC,0,0,0,0
12/18/2021,WV,313890,1198,5164,0
03/26/2020,UT,402,56,2,1
11/03/2021,MP,329,11,3,0
12/20/2021,PW,10,0,0,0
08/21/2021,AS,0,0,0,0
10/02/2020,TX,756004,3503,17034,61
03/26/2022,AK,238420,0,1189,0
07/10/2020,CO,37043,634,1724,18
01/25/2021,OK,396435,1520,5975,51
03/07/2022,TX,6573567,3227,84418,9
03/20/2022,WV,496409,0,6646,0
12/18/2020,NYC,387703,3569,24509,40
03/16/2021,CO,454586,326,6048,8
03/08/2022,NYC,2283797,589,39915,-13
12/18/2020,CO,320243,3300,4259,33
09/01/2020,UT,53150,358,408,0
12/04/2020,WV,52172,1147,799,10
04/20/2020,AK,321,2,9,0
12/06/2020,PW,0,0,0,0
08/19/2020,AK,4454,73,50,0
04/03/2022,CO,1348081,0,11977,0
02/04/2021,MA,533921,2804,15078,64
07/24/2020,MP,38,0,2,0
01/06/2022,HI,127085,4700,1087,4
09/25/2021,PW,7,0,0,0
08/06/2021,HI,43377,607,537,2
09/14/2020,MP,60,0,2,0
10/18/2021,MA,836302,999,18838,4
07/12/2021,MP,185,0,2,0
05/25/2020,MA,93271,596,6879,67
06/26/2021,AR,347575,321,5894,1
12/14/2020,AK,40604,406,259,2
06/16/2020,GA,58590,870,2529,35
07/07/2021,FL,2359281,4902,38256,25
11/20/2021,OK,659585,0,11107,0
02/12/2021,FL,1781415,7134,30545,133
07/27/2021,UT,429300,613,2441,7
10/26/2021,CO,737339,2214,8108,22
09/02/2021,OK,560850,3080,8090,17
11/17/2020,NYC,292538,1317,23876,14
02/26/2022,AR,818931,810,10465,40
12/01/2020,FL,994863,9900,19898,89
12/02/2021,CO,845633,3267,9337,61
09/08/2020,TX,641791,1421,15461,74
11/16/2021,WV,284165,604,4676,40
04/11/2021,AR,332053,0,5661,0
01/25/2020,AR,0,0,0,0
02/09/2022,HI,222974,470,1221,7
11/22/2021,PW,10,0,0,0
07/04/2020,WV,3205,79,94,1
04/27/2021,PW,0,0,0,0
09/15/2021,WV,214984,1805,3296,35
03/15/2022,CO,1340357,428,11870,10
10/27/2021,MA,848947,1435,18970,14
09/21/2021,AK,98891,830,465,6
01/29/2021,MP,132,0,2,0
04/09/2021,NYC,884102,3612,31747,47
12/30/2021,WV,328162,2648,5336,31
01/31/2020,NYC,0,0,0,0
04/28/2021,HI,32465,68,479,3
